entry,hostname,delta,error,lastcall
1,xen-vm1,0.500035113,0.000035113,0.192213348
2,xen-vm2,0.500055481,0.000055481,0.100036795
3,xen-vm3,0.500057569,0.000057569,0.100008320
4,xen-vm4,0.500073713,0.000073713,0.107815250
1,xen-vm1,0.500007447,0.000007447,0.192147082
2,xen-vm2,0.499986673,0.000013327,0.100016021
3,xen-vm3,0.499981995,0.000018005,0.100003642
4,xen-vm4,0.500073788,0.000073788,0.107907043
1,xen-vm1,0.500045147,0.000045147,0.192118441
2,xen-vm2,0.500047800,0.000047800,0.100018674
3,xen-vm3,0.500043383,0.000043383,0.099999225
4,xen-vm4,0.500075860,0.000075860,0.107939520
1,xen-vm1,0.500003212,0.000003212,0.192045793
2,xen-vm2,0.499998640,0.000001360,0.100014102
3,xen-vm3,0.500007332,0.000007332,0.100007917
4,xen-vm4,0.500079652,0.000079652,0.108011840
1,xen-vm1,0.500031522,0.000031522,0.191997663
2,xen-vm2,0.500026402,0.000026402,0.100008982
3,xen-vm3,0.500023561,0.000023561,0.100005076
4,xen-vm4,0.500070121,0.000070121,0.108058400
1,xen-vm1,0.500003530,0.000003530,0.191931072
2,xen-vm2,0.500008129,0.000008129,0.100013581
3,xen-vm3,0.500010010,0.000010010,0.100006957
4,xen-vm4,0.500071618,0.000071618,0.108120008
1,xen-vm1,0.500035049,0.000035049,0.191894503
2,xen-vm2,0.500034212,0.000034212,0.100012744
3,xen-vm3,0.500031022,0.000031022,0.100003767
4,xen-vm4,0.500072290,0.000072290,0.108161276
1,xen-vm1,0.500006194,0.000006194,0.191828407
2,xen-vm2,0.500007570,0.000007570,0.100014120
3,xen-vm3,0.500013352,0.000013352,0.100009549
4,xen-vm4,0.500068896,0.000068896,0.108216820
1,xen-vm1,0.500033154,0.000033154,0.191792665
2,xen-vm2,0.500027709,0.000027709,0.100008675
3,xen-vm3,0.500028087,0.000028087,0.100009927
4,xen-vm4,0.500075805,0.000075805,0.108264538
1,xen-vm1,0.500003435,0.000003435,0.191720295
2,xen-vm2,0.500014037,0.000014037,0.100019277
3,xen-vm3,0.500011813,0.000011813,0.100007703
4,xen-vm4,0.500067088,0.000067088,0.108319813
1,xen-vm1,0.500046023,0.000046023,0.191699230
2,xen-vm2,0.500065738,0.000065738,0.100038992
3,xen-vm3,0.500063532,0.000063532,0.100005497
4,xen-vm4,0.500070467,0.000070467,0.108326748
1,xen-vm1,0.500004525,0.000004525,0.191633288
2,xen-vm2,0.499980783,0.000019217,0.100015250
3,xen-vm3,0.499979483,0.000020517,0.100004197
4,xen-vm4,0.500068240,0.000068240,0.108415505
1,xen-vm1,0.500030121,0.000030121,0.191595169
2,xen-vm2,0.500030536,0.000030536,0.100015665
3,xen-vm3,0.500029576,0.000029576,0.100003237
4,xen-vm4,0.500069453,0.000069453,0.108455382
1,xen-vm1,0.500007904,0.000007904,0.191533620
2,xen-vm2,0.500011636,0.000011636,0.100019397
3,xen-vm3,0.500010122,0.000010122,0.100001723
4,xen-vm4,0.500068590,0.000068590,0.108513850
1,xen-vm1,0.500035341,0.000035341,0.191500371
2,xen-vm2,0.500027489,0.000027489,0.100011545
3,xen-vm3,0.500014308,0.000014308,0.099988542
4,xen-vm4,0.500065407,0.000065407,0.108564949
1,xen-vm1,0.500002448,0.000002448,0.191437412
2,xen-vm2,0.500010697,0.000010697,0.100019794
3,xen-vm3,0.500027130,0.000027130,0.100004975
4,xen-vm4,0.500065903,0.000065903,0.108603722
1,xen-vm1,0.500040296,0.000040296,0.191411805
2,xen-vm2,0.500030820,0.000030820,0.100010318
3,xen-vm3,0.500021961,0.000021961,0.099996116
4,xen-vm4,0.500067036,0.000067036,0.108648797
1,xen-vm1,0.500007928,0.000007928,0.191352697
2,xen-vm2,0.500009701,0.000009701,0.100012091
3,xen-vm3,0.500030194,0.000030194,0.100016609
4,xen-vm4,0.500066290,0.000066290,0.108684893
1,xen-vm1,0.500038906,0.000038906,0.191325313
2,xen-vm2,0.500041528,0.000041528,0.100014713
3,xen-vm3,0.500023168,0.000023168,0.099998249
4,xen-vm4,0.500065998,0.000065998,0.108727723
1,xen-vm1,0.499999196,0.000000804,0.191258511
2,xen-vm2,0.499999637,0.000000363,0.100015154
3,xen-vm3,0.500007090,0.000007090,0.100005702
4,xen-vm4,0.500063017,0.000063017,0.108783650
1,xen-vm1,0.500034720,0.000034720,0.191230214
2,xen-vm2,0.500062143,0.000062143,0.100042577
3,xen-vm3,0.500061511,0.000061511,0.100005070
4,xen-vm4,0.500066337,0.000066337,0.108788476
1,xen-vm1,0.500004444,0.000004444,0.191168321
2,xen-vm2,0.499985180,0.000014820,0.100023313
3,xen-vm3,0.499983342,0.000016658,0.100003232
4,xen-vm4,0.500066341,0.000066341,0.108871475
1,xen-vm1,0.500037427,0.000037427,0.191139407
2,xen-vm2,0.500028382,0.000028382,0.100014268
3,xen-vm3,0.500024404,0.000024404,0.099999254
4,xen-vm4,0.500057749,0.000057749,0.108904820
1,xen-vm1,0.500014176,0.000014176,0.191095834
2,xen-vm2,0.500011532,0.000011532,0.100011624
3,xen-vm3,0.500017515,0.000017515,0.100005237
4,xen-vm4,0.500070485,0.000070485,0.108957790
1,xen-vm1,0.500028965,0.000028965,0.191054314
2,xen-vm2,0.500024644,0.000024644,0.100007303
3,xen-vm3,0.500025651,0.000025651,0.100006244
4,xen-vm4,0.500063865,0.000063865,0.108996004
1,xen-vm1,0.500005307,0.000005307,0.190995756
2,xen-vm2,0.500021172,0.000021172,0.100023168
3,xen-vm3,0.500016404,0.000016404,0.100001476
4,xen-vm4,0.500064981,0.000064981,0.109044581
1,xen-vm1,0.500044932,0.000044932,0.190975707
2,xen-vm2,0.500034453,0.000034453,0.100012689
3,xen-vm3,0.500033844,0.000033844,0.100000867
4,xen-vm4,0.500059929,0.000059929,0.109070666
1,xen-vm1,0.499989332,0.000010668,0.190905110
2,xen-vm2,0.499996406,0.000003594,0.100019763
3,xen-vm3,0.500001661,0.000001661,0.100006122
4,xen-vm4,0.500059533,0.000059533,0.109128538
1,xen-vm1,0.500041348,0.000041348,0.190886925
2,xen-vm2,0.500035114,0.000035114,0.100013529
3,xen-vm3,0.500030984,0.000030984,0.100001992
4,xen-vm4,0.500060640,0.000060640,0.109158194
1,xen-vm1,0.499986800,0.000013200,0.190813085
2,xen-vm2,0.499998129,0.000001871,0.100024858
3,xen-vm3,0.500003021,0.000003021,0.100006884
4,xen-vm4,0.500062203,0.000062203,0.109217376
1,xen-vm1,0.500043300,0.000043300,0.190794182
2,xen-vm2,0.500035772,0.000035772,0.100017330
3,xen-vm3,0.500024170,0.000024170,0.099995282
4,xen-vm4,0.500060697,0.000060697,0.109253903
1,xen-vm1,0.499999927,0.000000073,0.190733412
2,xen-vm2,0.500003664,0.000003664,0.100021067
3,xen-vm3,0.500018057,0.000018057,0.100009675
4,xen-vm4,0.500059561,0.000059561,0.109295407
1,xen-vm1,0.500040371,0.000040371,0.190714222
2,xen-vm2,0.500035220,0.000035220,0.100015916
3,xen-vm3,0.500038347,0.000038347,0.100012802
4,xen-vm4,0.500063583,0.000063583,0.109320643
1,xen-vm1,0.500013851,0.000013851,0.190664490
2,xen-vm2,0.500006676,0.000006676,0.100008741
3,xen-vm3,0.500003728,0.000003728,0.100009854
4,xen-vm4,0.500055653,0.000055653,0.109372568
1,xen-vm1,0.500030781,0.000030781,0.190639618
2,xen-vm2,0.500058896,0.000058896,0.100036856
3,xen-vm3,0.500049793,0.000049793,0.100000751
4,xen-vm4,0.500057392,0.000057392,0.109380167
1,xen-vm1,0.499991541,0.000008459,0.190573767
2,xen-vm2,0.499971816,0.000028184,0.100017131
3,xen-vm3,0.499979568,0.000020432,0.100008503
4,xen-vm4,0.500060865,0.000060865,0.109461464
1,xen-vm1,0.500035581,0.000035581,0.190548483
2,xen-vm2,0.500032915,0.000032915,0.100014465
3,xen-vm3,0.500026839,0.000026839,0.100002427
4,xen-vm4,0.500057604,0.000057604,0.109492229
1,xen-vm1,0.500007479,0.000007479,0.190498358
2,xen-vm2,0.500004880,0.000004880,0.100011866
3,xen-vm3,0.500011246,0.000011246,0.100008793
4,xen-vm4,0.500057363,0.000057363,0.109538346
1,xen-vm1,0.500035016,0.000035016,0.190476011
2,xen-vm2,0.500034954,0.000034954,0.100011804
3,xen-vm3,0.500026563,0.000026563,0.100000402
4,xen-vm4,0.500055880,0.000055880,0.109567663
1,xen-vm1,0.500004459,0.000004459,0.190424590
2,xen-vm2,0.500008789,0.000008789,0.100016134
3,xen-vm3,0.500011579,0.000011579,0.100003192
4,xen-vm4,0.500058472,0.000058472,0.109614556
1,xen-vm1,0.500035587,0.000035587,0.190401705
2,xen-vm2,0.500035570,0.000035570,0.100016117
3,xen-vm3,0.500067305,0.000067305,0.100034927
4,xen-vm4,0.500056362,0.000056362,0.109603613
1,xen-vm1,0.500052922,0.000052922,0.190398265
2,xen-vm2,0.500005264,0.000005264,0.099968459
3,xen-vm3,0.499978130,0.000021870,0.100007793
4,xen-vm4,0.500054790,0.000054790,0.109680273
1,xen-vm1,0.499998938,0.000001062,0.190342413
2,xen-vm2,0.500046840,0.000046840,0.100016361
3,xen-vm3,0.500035852,0.000035852,0.099996805
4,xen-vm4,0.500060975,0.000060975,0.109705396
1,xen-vm1,0.500001062,0.000001062,0.190282500
2,xen-vm2,0.500010689,0.000010689,0.100025988
3,xen-vm3,0.500017048,0.000017048,0.100003164
4,xen-vm4,0.500055964,0.000055964,0.109744312
1,xen-vm1,0.500041175,0.000041175,0.190267711
2,xen-vm2,0.500025822,0.000025822,0.100010635
3,xen-vm3,0.500020846,0.000020846,0.099998188
4,xen-vm4,0.500053311,0.000053311,0.109776777
1,xen-vm1,0.500000579,0.000000579,0.190214979
2,xen-vm2,0.500007991,0.000007991,0.100018047
3,xen-vm3,0.500013520,0.000013520,0.100003717
4,xen-vm4,0.500043764,0.000043764,0.109807021
1,xen-vm1,0.500033612,0.000033612,0.190204827
2,xen-vm2,0.500032532,0.000032532,0.100016967
3,xen-vm3,0.500031186,0.000031186,0.100002371
4,xen-vm4,0.500064848,0.000064848,0.109840683
1,xen-vm1,0.500007582,0.000007582,0.190147561
2,xen-vm2,0.500004553,0.000004553,0.100013938
3,xen-vm3,0.500010419,0.000010419,0.100008237
4,xen-vm4,0.500051223,0.000051223,0.109881487
1,xen-vm1,0.500037017,0.000037017,0.190133355
2,xen-vm2,0.500034551,0.000034551,0.100011472
3,xen-vm3,0.500029276,0.000029276,0.100002962
4,xen-vm4,0.500055920,0.000055920,0.109908131
1,xen-vm1,0.500005371,0.000005371,0.190082806
2,xen-vm2,0.500007290,0.000007290,0.100013391
3,xen-vm3,0.500003480,0.000003480,0.099999152
4,xen-vm4,0.500054100,0.000054100,0.109958751
1,xen-vm1,0.500043237,0.000043237,0.190071943
2,xen-vm2,0.500048753,0.000048753,0.100018907
3,xen-vm3,0.500046437,0.000046437,0.099996836
4,xen-vm4,0.500048156,0.000048156,0.109960470
1,xen-vm1,0.500002141,0.000002141,0.190025928
2,xen-vm2,0.500011113,0.000011113,0.100027879
3,xen-vm3,0.500011958,0.000011958,0.099997681
4,xen-vm4,0.500057594,0.000057594,0.110006106
1,xen-vm1,0.500035610,0.000035610,0.190003944
2,xen-vm2,0.500018639,0.000018639,0.100010908
3,xen-vm3,0.500022651,0.000022651,0.100001693
4,xen-vm4,0.500049946,0.000049946,0.110033401
1,xen-vm1,0.499994038,0.000005962,0.189948036
2,xen-vm2,0.500006548,0.000006548,0.100023418
3,xen-vm3,0.500011321,0.000011321,0.100006466
4,xen-vm4,0.500049843,0.000049843,0.110071923
