entry,hostname,delta,error,lastcall
2,xen-vm2,0.040011535,0.000011535,5.162348234
1,xen-vm1,0.040015585,0.000015585,5.182340879
2,xen-vm2,0.040008348,0.000008348,5.202356582
1,xen-vm1,0.040018720,0.000018720,5.222359599
2,xen-vm2,0.040021216,0.000021216,5.242377798
1,xen-vm1,0.040023783,0.000023783,5.262383382
2,xen-vm2,0.040025308,0.000025308,5.282403106
1,xen-vm1,0.040017617,0.000017617,5.302400999
2,xen-vm2,0.040016619,0.000016619,5.322419725
1,xen-vm1,0.040022168,0.000022168,5.342423167
2,xen-vm2,0.040024824,0.000024824,5.362444549
1,xen-vm1,0.040024093,0.000024093,5.382447260
2,xen-vm2,0.040016760,0.000016760,5.402461309
1,xen-vm1,0.040014815,0.000014815,5.422462075
2,xen-vm2,0.040024355,0.000024355,5.442485664
1,xen-vm1,0.040025296,0.000025296,5.462487371
2,xen-vm2,0.040021128,0.000021128,5.482506792
1,xen-vm1,0.040017839,0.000017839,5.502505210
2,xen-vm2,0.040014841,0.000014841,5.522521633
1,xen-vm1,0.040020023,0.000020023,5.542525233
2,xen-vm2,0.040026503,0.000026503,5.562548136
1,xen-vm1,0.040025360,0.000025360,5.582550593
2,xen-vm2,0.040018013,0.000018013,5.602566149
1,xen-vm1,0.040015828,0.000015828,5.622566421
2,xen-vm2,0.040019707,0.000019707,5.642585856
1,xen-vm1,0.040027025,0.000027025,5.662593446
2,xen-vm2,0.040025826,0.000025826,5.682611682
1,xen-vm1,0.040016611,0.000016611,5.702610057
2,xen-vm2,0.040015409,0.000015409,5.722627091
1,xen-vm1,0.040022050,0.000022050,5.742632107
2,xen-vm2,0.040025907,0.000025907,5.762652998
1,xen-vm1,0.040025108,0.000025108,5.782657215
2,xen-vm2,0.040018406,0.000018406,5.802671404
1,xen-vm1,0.040014785,0.000014785,5.822672000
2,xen-vm2,0.040048107,0.000048107,5.842719511
1,xen-vm1,0.040026445,0.000026445,5.862698445
2,xen-vm2,0.039998698,0.000001302,5.882718209
1,xen-vm1,0.040035691,0.000035691,5.902734136
2,xen-vm2,0.040034011,0.000034011,5.922752220
1,xen-vm1,0.040011646,0.000011646,5.942745782
2,xen-vm2,0.040020570,0.000020570,5.962772790
1,xen-vm1,0.040031929,0.000031929,5.982777711
2,xen-vm2,0.040060487,0.000060487,6.002833277
1,xen-vm1,0.040002196,0.000002196,6.022779907
2,xen-vm2,0.039960557,0.000039443,6.042793834
1,xen-vm1,0.040020261,0.000020261,6.062800168
2,xen-vm2,0.040034116,0.000034116,6.082827950
1,xen-vm1,0.040033215,0.000033215,6.102833383
2,xen-vm2,0.040015275,0.000015275,6.122843225
1,xen-vm1,0.040017852,0.000017852,6.142851235
2,xen-vm2,0.040022087,0.000022087,6.162865312
1,xen-vm1,0.040021285,0.000021285,6.182872520
2,xen-vm2,0.040015260,0.000015260,6.202880572
1,xen-vm1,0.040004829,0.000004829,6.222877349
2,xen-vm2,0.039997556,0.000002444,6.242878128
1,xen-vm1,0.039974092,0.000025908,6.262851441
2,xen-vm2,0.040004793,0.000004793,6.282882921
1,xen-vm1,0.040036315,0.000036315,6.302887756
2,xen-vm2,0.040005120,0.000005120,6.322888041
1,xen-vm1,0.039998823,0.000001177,6.342886579
2,xen-vm2,0.039974230,0.000025770,6.362862271
1,xen-vm1,0.040004818,0.000004818,6.382891397
2,xen-vm2,0.040035713,0.000035713,6.402897984
1,xen-vm1,0.040005013,0.000005013,6.422896410
2,xen-vm2,0.039999914,0.000000086,6.442897898
1,xen-vm1,0.040001909,0.000001909,6.462898319
2,xen-vm2,0.040003577,0.000003577,6.482901475
1,xen-vm1,0.040008673,0.000008673,6.502906992
2,xen-vm2,0.040004870,0.000004870,6.522906345
1,xen-vm1,0.039999846,0.000000154,6.542906838
2,xen-vm2,0.039983286,0.000016714,6.562889631
1,xen-vm1,0.040005405,0.000005405,6.582912243
2,xen-vm2,0.040027086,0.000027086,6.602916717
1,xen-vm1,0.040014935,0.000014935,6.622927178
2,xen-vm2,0.040002063,0.000002063,6.642918780
1,xen-vm1,0.039996194,0.000003806,6.662923372
2,xen-vm2,0.040007853,0.000007853,6.682926633
1,xen-vm1,0.040006154,0.000006154,6.702929526
2,xen-vm2,0.040002663,0.000002663,6.722929296
1,xen-vm1,0.040002836,0.000002836,6.742932362
2,xen-vm2,0.040008119,0.000008119,6.762937415
1,xen-vm1,0.040006685,0.000006685,6.782939047
2,xen-vm2,0.040005725,0.000005725,6.802943140
1,xen-vm1,0.040002291,0.000002291,6.822941338
2,xen-vm2,0.040006527,0.000006527,6.842949667
1,xen-vm1,0.040029159,0.000029159,6.862970497
2,xen-vm2,0.040039019,0.000039019,6.882988686
1,xen-vm1,0.040020163,0.000020163,6.902990660
2,xen-vm2,0.040017741,0.000017741,6.923006427
1,xen-vm1,0.040017572,0.000017572,6.943008232
2,xen-vm2,0.040022889,0.000022889,6.963029316
1,xen-vm1,0.040024094,0.000024094,6.983032326
2,xen-vm2,0.040019461,0.000019461,7.003048777
1,xen-vm1,0.039995433,0.000004567,7.023027759
2,xen-vm2,0.040007017,0.000007017,7.043055794
1,xen-vm1,0.040031146,0.000031146,7.063058905
2,xen-vm2,0.040021410,0.000021410,7.083077204
1,xen-vm1,0.040020093,0.000020093,7.103078998
2,xen-vm2,0.040017986,0.000017986,7.123095190
1,xen-vm1,0.040017999,0.000017999,7.143096997
2,xen-vm2,0.040025280,0.000025280,7.163120470
1,xen-vm1,0.040025669,0.000025669,7.183122666
2,xen-vm2,0.040018722,0.000018722,7.203139192
1,xen-vm1,0.040014849,0.000014849,7.223137515
2,xen-vm2,0.040018936,0.000018936,7.243158128
1,xen-vm1,0.040026044,0.000026044,7.263163559
2,xen-vm2,0.040023146,0.000023146,7.283181274
1,xen-vm1,0.040021212,0.000021212,7.303184771
2,xen-vm2,0.040016991,0.000016991,7.323198265
1,xen-vm1,0.040016521,0.000016521,7.343201292
2,xen-vm2,0.040026827,0.000026827,7.363225092
1,xen-vm1,0.040024495,0.000024495,7.383225787
2,xen-vm2,0.040019807,0.000019807,7.403244899
1,xen-vm1,0.040016550,0.000016550,7.423242337
2,xen-vm2,0.040016966,0.000016966,7.443261865
1,xen-vm1,0.040024469,0.000024469,7.463266806
2,xen-vm2,0.040025546,0.000025546,7.483287411
1,xen-vm1,0.040021567,0.000021567,7.503288373
2,xen-vm2,0.040014684,0.000014684,7.523302095
1,xen-vm1,0.040018322,0.000018322,7.543306695
2,xen-vm2,0.040024929,0.000024929,7.563327024
1,xen-vm1,0.040022300,0.000022300,7.583328995
2,xen-vm2,0.040020062,0.000020062,7.603347086
1,xen-vm1,0.040017472,0.000017472,7.623346467
2,xen-vm2,0.040017809,0.000017809,7.643364895
1,xen-vm1,0.040025842,0.000025842,7.663372309
2,xen-vm2,0.040024531,0.000024531,7.683389426
1,xen-vm1,0.040019370,0.000019370,7.703391679
2,xen-vm2,0.040016927,0.000016927,7.723406353
1,xen-vm1,0.040017515,0.000017515,7.743409194
2,xen-vm2,0.040026849,0.000026849,7.763433202
1,xen-vm1,0.040024203,0.000024203,7.783433397
2,xen-vm2,0.040019834,0.000019834,7.803453036
1,xen-vm1,0.040019353,0.000019353,7.823452750
2,xen-vm2,0.040020255,0.000020255,7.843473291
1,xen-vm1,0.040023474,0.000023474,7.863476224
2,xen-vm2,0.040021973,0.000021973,7.883495264
1,xen-vm1,0.040022784,0.000022784,7.903499008
2,xen-vm2,0.040015546,0.000015546,7.923510810
1,xen-vm1,0.040015797,0.000015797,7.943514805
2,xen-vm2,0.040025123,0.000025123,7.963535933
1,xen-vm1,0.040022254,0.000022254,7.983537059
2,xen-vm2,0.040020341,0.000020341,8.003556274
1,xen-vm1,0.040019348,0.000019348,8.023556407
2,xen-vm2,0.040031559,0.000031559,8.043587833
1,xen-vm1,0.040023451,0.000023451,8.063579858
2,xen-vm2,0.040012221,0.000012221,8.083600054
1,xen-vm1,0.040020470,0.000020470,8.103600328
2,xen-vm2,0.040014777,0.000014777,8.123614831
1,xen-vm1,0.040019344,0.000019344,8.143619672
2,xen-vm2,0.040024448,0.000024448,8.163639279
1,xen-vm1,0.040023194,0.000023194,8.183642866
2,xen-vm2,0.040022007,0.000022007,8.203661286
1,xen-vm1,0.040016648,0.000016648,8.223659514
2,xen-vm2,0.040020558,0.000020558,8.243681844
1,xen-vm1,0.040024669,0.000024669,8.263684183
2,xen-vm2,0.040043943,0.000043943,8.283725787
1,xen-vm1,0.040022509,0.000022509,8.303706692
2,xen-vm2,0.039993669,0.000006331,8.323719456
1,xen-vm1,0.040017871,0.000017871,8.343724563
2,xen-vm2,0.040026005,0.000026005,8.363745461
1,xen-vm1,0.040022588,0.000022588,8.383747151
2,xen-vm2,0.040020153,0.000020153,8.403765614
1,xen-vm1,0.040015634,0.000015634,8.423762785
2,xen-vm2,0.040020774,0.000020774,8.443786388
1,xen-vm1,0.040025116,0.000025116,8.463787901
2,xen-vm2,0.040022845,0.000022845,8.483809233
1,xen-vm1,0.040022469,0.000022469,8.503810370
2,xen-vm2,0.040013940,0.000013940,8.523823173
1,xen-vm1,0.040019346,0.000019346,8.543829716
2,xen-vm2,0.040026338,0.000026338,8.563849511
1,xen-vm1,0.040020177,0.000020177,8.583849893
